Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
125,2645.707,5.1503105,2741.7068,6.931752,1309.7057,16.26468
126,2649.8281,5.6553197,2842.124,7.1911592,1844.2488,16.342669
126,2649.8281,5.6553197,2842.124,7.1911592,1844.2488,16.342669
127,2654.3362,6.1603255,3013.7632,7.4498487,1574.5172,16.373144
127,2654.3362,6.1603255,3013.7632,7.4498487,1574.5172,16.373144
128,2659.2307,6.665327,3207.7886,7.772503,1546.3027,16.401203
128,2659.2307,6.665327,3207.7886,7.772503,1546.3027,16.401203
129,2664.5125,7.170325,2862.5752,8.0243025,1151.6213,16.349594
129,2664.5125,7.170325,2862.5752,8.0243025,1151.6213,16.349594
130,2670.1824,7.6753182,2466.4941,8.184524,1545.5841,16.40121
130,2670.1824,7.6753182,2466.4941,8.184524,1545.5841,16.40121
131,2676.2356,8.180308,2387.5166,8.292097,1010.39453,16.351007
131,2676.2356,8.180308,2387.5166,8.292097,1010.39453,16.351007
132,2682.6777,8.685294,3025.6711,8.448935,1125.9745,16.322073
132,2682.6777,8.685294,3025.6711,8.448935,1125.9745,16.322073
133,2689.506,9.190277,3481.9597,8.628375,1498.6207,16.373903
133,2689.506,9.190277,3481.9597,8.628375,1498.6207,16.373903
134,2696.7227,9.695255,3683.4438,8.864143,1737.073,16.48263
134,2696.7227,9.695255,3683.4438,8.864143,1737.073,16.48263
135,2514.3376,10.160042,3266.9927,9.044572,687.25836,16.382017
135,2514.3376,10.160042,3266.9927,9.044572,687.25836,16.382017
136,2521.6223,10.6229315,3356.6655,9.269383,1156.3309,16.377325
136,2521.6223,10.6229315,3356.6655,9.269383,1156.3309,16.377325
137,2529.228,11.085819,2946.3772,9.481794,1264.2816,16.404024
137,2529.228,11.085819,2946.3772,9.481794,1264.2816,16.404024
138,2537.1594,11.548702,2522.0525,9.644918,1625.3275,16.511524
138,2537.1594,11.548702,2522.0525,9.644918,1625.3275,16.511524
139,2545.4155,12.011583,2150.9417,9.7354355,866.9761,16.463552
139,2545.4155,12.011583,2150.9417,9.7354355,866.9761,16.463552
140,2553.9968,12.47446,1761.9235,9.736751,576.367,16.355347
140,2553.9968,12.47446,1761.9235,9.736751,576.367,16.355347
